D157, WS2812B, 142.50, 82.50, T,   0, WS2812B
D158, WS2812B, 157.50, 82.50, T,   0, WS2812B
D159, WS2812B, 172.50, 82.50, T,   0, WS2812B
D160, WS2812B, 187.50, 82.50, T,   0, WS2812B
D161, WS2812B, 202.50, 82.50, T,   0, WS2812B
D162, WS2812B, 217.50, 82.50, T,   0, WS2812B
D163, WS2812B, 232.50, 82.50, T,   0, WS2812B
D164, WS2812B, 247.50, 82.50, T,   0, WS2812B
D165, WS2812B, 262.50, 82.50, T,   0, WS2812B
D166, WS2812B, 277.50, 82.50, T,   0, WS2812B
D167, WS2812B, 292.50, 82.50, T,   0, WS2812B
D168, WS2812B, 307.50, 82.50, T,   0, WS2812B
D169, WS2812B,  7.50, 67.50, T,   0, WS2812B
D170, WS2812B, 22.50, 67.50, T,   0, WS2812B
D171, WS2812B, 37.50, 67.50, T,   0, WS2812B
D172, WS2812B, 52.50, 67.50, T,   0, WS2812B
D173, WS2812B, 67.50, 67.50, T,   0, WS2812B
D174, WS2812B, 82.50, 67.50, T,   0, WS2812B
D175, WS2812B, 97.50, 67.50, T,   0, WS2812B
D176, WS2812B, 112.50, 67.50, T,   0, WS2812B
D177, WS2812B, 127.50, 67.50, T,   0, WS2812B
D178, WS2812B, 142.50, 67.50, T,   0, WS2812B
D179, WS2812B, 157.50, 67.50, T,   0, WS2812B
D180, WS2812B, 172.50, 67.50, T,   0, WS2812B
D181, WS2812B, 187.50, 67.50, T,   0, WS2812B
D182, WS2812B, 202.50, 67.50, T,   0, WS2812B
D183, WS2812B, 217.50, 67.50, T,   0, WS2812B
D184, WS2812B, 232.50, 67.50, T,   0, WS2812B
D185, WS2812B, 247.50, 67.50, T,   0, WS2812B
D186, WS2812B, 262.50, 67.50, T,   0, WS2812B
D187, WS2812B, 277.50, 67.50, T,   0, WS2812B
D188, WS2812B, 292.50, 67.50, T,   0, WS2812B
D189, WS2812B, 307.50, 67.50, T,   0, WS2812B
D190, WS2812B,  7.50, 52.50, T,   0, WS2812B
